"Source:","/Users/ageppert/Dropbox/Electronics/Core 64 Interactive Badge/Core-64-Interactive-Core-Memory-Badge/Electronic Design/Core64 LB v0.4/Core64 LB v0.4.sch"
"Date:","Saturday, November 21, 2020 at 09:58:32 AM"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/kh/1q_kd4hn7cq821df7xpmdhbw0000gn/T/AppTranslocation/67FA71ED-F90D-4A98-A7A8-267930E57281/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","146"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"JP2, ","1","Opt. Cur. Mon.","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"JP4, JP3, ","2","SolderJumper_3_Open","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels","Solder Jumper, 3-pole, open",""
"JP8, ","1","Teensy_Charge_Enable","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"JP9, ","1","3V3_Select","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels","Solder Jumper, 3-pole, open",""
"JP10, JP11, ","2","SolderJumper_3_Open","SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","3-pole Solder Jumper, pins 1+2 closed/bridged",""
"L1, L2, ","2","Core_64_Logo","Core_64_Logo","Core_Memory_8x8_Array:Core64_Logo","",""
"L3, ","1","Core_64_MachineIdeas_Link","Core_64_MachineIdeas_Link","Core_Memory_8x8_Array:Core64_QR_Link_MachineIdeas","",""
"L4, ","1","Logo_Open_Hardware_Small","Logo_Open_Hardware_Small","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","Open Hardware logo, small",""
"Q5, Q3, Q9, Q11, Q13, Q15, Q17, Q19, Q1, Q7, ","10","MMBT4403LT1G","MMBT4403LT1G","Digikey:SOT-23-3","TRANS PNP 40V 0.6A SOT23",""
"Q6, Q4, Q10, Q12, Q14, Q16, Q18, Q20, Q2, Q8, ","10","MMBT4401LT1G","MMBT4401LT1G","Digikey:SOT-23-3","TRANS NPN 40V 0.6A SOT23",""
"Q21, ","1","Q_NMOS_DGS_NVTR4503NT1G","Q_NMOS_DGS","Digikey:SOT-23-3","N-MOSFET transistor, drain/gate/source",""
"Q22, ","1","MCC_SL3401A","Q_PMOS_DGS","Digikey:SOT-23-3","P-MOSFET transistor, drain/gate/source",""
"R4, R14, R22, R28, R6, R15, R7, R16, R8, R17, R18, R20, R25, R31, R19, R24, R26, R30, R21, R27, R50, ","21","470","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R5, R3, R10, R44, R45, R2, ","6","10K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R9, R11, R13, R12, R23, R29, ","6","6R8","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R32, R33, ","2","1K8","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R37, R38, ","2","11","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R41, R36, R42, ","3","1K5","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R46, R47, ","2","2K2","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R49, R34, R39, R40, R35, R1, R48, ","7","10k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R51, ","1","33k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R52, ","1","11k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"SW1, ","1","JS102011SAQN","SW_SPDT","Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN","Switch, single pole double throw",""
"U1, ","1","74HC238","74HC238","Digikey:TSSOP-16-1EP_W4.40mm","",""
"U2, ","1","Teensy3.2","Teensy3.2","Teensy:Teensy30_31_32_LC_SMD_SOCKETS","",""
"U3, ","1","SN74LV1T125DBVR","SN74LV1T125DBVR","Package_TO_SOT_SMD:SOT-23-5","Single Power Supply Single Buffer Gate with 3-State Output CMOS Logic Level Shifter",""
"U4, ","1","M24C01-RMN","M24C01-RMN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1Kb (128x8) I2C Serial EEPROM, 1.8-5.5V, SOIC-8",""
"U5, ","1","74HC02","74HC02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","quad 2-input NOR gate",""
"U6, ","1","Micro_LiPo_Charger","Micro_LiPo_Charger","Core_Memory_8x8_Array:Micro_LiPo_Charger","",""
"U7, ","1","LM393","LM393","Digikey:SOIC-8_W3.9mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/SSOP-8",""
"U8, ","1","Adafruit_3.2_TFT_1743","Adafruit_3.2_TFT_1743","Adafruit_3.2_TFT:Adafruit_3.2_TFT_Dual_PinHeader_1x20_P2.54mm_Vertical_SMD_Pin1Left","Adafruit 3.2 TFT Breakout Board with resistive touch screen",""
"X1, ","1","SAO_conn_SFH11-NBPC-D03-ST-BK","SAO_conn_SFH11-NBPC-D03-ST-BK","badgelife_sao_v169bis:Badgelife-SAOv169-BADGE-2x3","",""
"X2, ","1","Header_9-PIN_0.1","Conn_01x09","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"X3, ","1","QWIIC","Conn_01x04","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"X4, ","1","SSW-104-22-L-S-VS","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_and_TH_Pin1Left","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Z1, ","1","PDZ10BGWX_(10V)","D_Zener_Small","Digikey:SOD-123","Zener diode, small symbol",""
